,ShoeName,Category,no_colors,price_reduce,price,count_of_sizes,color_black,color_blue,color_white,color_red,other_color,product_code,n_reviews,size,comfort,quality,star_rating,product_code2
669,Nike Dunk Low Retro,Men,1,115.0,115.0,9,0.0,0.0,0.0,1.0,,FV8106-361,7.0,59.0,59.0,67.9,5.0,FV8106-361
670,Nike Air Force 1 '07,Men,1,114.97,135.0,9,0.0,0.0,0.0,0.0,green,FQ8823-236,2.0,75.0,100.0,91.67,5.0,FQ8823-236
671,Nike Blazer Mid '77,Men,1,93.97,110.0,15,0.0,0.0,0.0,0.0,green,FQ8824-236,0.0,,,,0.0,FQ8824-236
672,Nike Dunk Low Retro Premium,Men,2,120.0,120.0,13,0.0,0.0,0.0,0.0,brown,DZ2538-300,45.0,50.0,84.0,72.81,4.3,DZ2538-300
673,Nike Air Max 270,Men,8,136.97,160.0,8,1.0,1.0,1.0,1.0,green,AH8050-100,3010.0,43.0,84.0,42.77,4.7,AH8050-100
674,Nike Air Alpha Force 88,Men,2,140.0,140.0,22,1.0,0.0,1.0,1.0,,DZ4627-101,1.0,50.0,50.0,66.67,4.0,DZ4627-101
675,Nike Air Flight Huarache,Men,3,93.97,125.0,16,1.0,1.0,0.0,0.0,brown,FD0192-200,1.0,50.0,50.0,66.67,5.0,FD0192-200
676,Nike Air Penny 2 x Stüssy,Men,2,200.0,200.0,21,1.0,0.0,1.0,0.0,lime,DX6934-200,0.0,,,,0.0,DX6934-200
677,"Zion 3 ""Gen Zion""",Men,3,140.0,140.0,21,1.0,0.0,1.0,1.0,purple,DR0675-018,15.0,27.0,54.0,44.78,3.6,DR0675-018
678,"Luka 2 ""Caves""",Men,1,130.0,130.0,12,0.0,0.0,1.0,0.0,orange,DX9013-008,1.0,,100.0,100.0,5.0,DX9013-008
679,"Air Jordan 1 Low OG ""White/Red""",Men,2,140.0,140.0,18,1.0,0.0,1.0,1.0,,CZ0790-161,675.0,53.0,77.0,69.01,4.8,CZ0790-161
680,Air Jordan 1 Mid,Men,2,106.97,125.0,7,1.0,1.0,1.0,1.0,,DQ8426-106,562.0,51.0,84.0,54.49,4.9,DQ8426-106
681,Nike Dunk Low Retro,Men,1,97.97,115.0,2,1.0,0.0,1.0,0.0,,DJ6188-101,459.0,55.0,75.0,45.44,4.9,DJ6188-101
682,Nike Dunk Low Retro,Men,4,115.0,115.0,8,1.0,0.0,1.0,1.0,brown,DV0831-004,54.0,56.0,85.0,64.9,4.7,DV0831-004
683,Air Jordan 1 Zoom CMFT 2,Men,8,127.97,150.0,11,1.0,1.0,1.0,0.0,brown,DV1307-101,90.0,51.0,94.0,69.44,4.8,DV1307-101
684,Air Jordan 1 Mid SE Craft,Men,1,114.97,135.0,15,1.0,0.0,1.0,0.0,brown,FD6817-003,8.0,50.0,82.0,77.33,5.0,FD6817-003
685,Nike Air Max 1 Premium,Men,1,136.97,160.0,12,0.0,0.0,0.0,0.0,orange,FQ8731-012,3.0,50.0,84.0,78.0,4.7,FQ8731-012
686,Nike Air Max 1,Men,1,105.97,140.0,17,1.0,0.0,1.0,0.0,gold,FD9082-104,135.0,46.0,88.0,58.74,4.8,FD9082-104
687,Air Jordan 1 Mid SE,Men,2,135.0,135.0,12,1.0,0.0,1.0,0.0,orange,FB9911-001,15.0,47.0,70.0,72.33,5.0,FB9911-001
688,Air Jordan 1 Low SE,Men,2,125.0,125.0,13,1.0,0.0,1.0,0.0,orange,FB9907-001,5.0,38.0,50.0,49.33,4.2,FB9907-001
689,"LeBron XXI ""Freshwater""",Men,4,150.97,200.0,22,1.0,1.0,1.0,1.0,purple,FV2345-500,29.0,42.0,95.0,67.51,4.8,FV2345-500
690,LeBron NXXT Gen,Men,9,144.97,170.0,21,1.0,1.0,1.0,1.0,brown,DR8784-500,192.0,42.0,93.0,52.81,4.8,DR8784-500
691,Nike Pegasus 40,Men,23,110.97,130.0,17,1.0,1.0,1.0,1.0,brown,FV3631-081,0.0,,,,0.0,FV3631-081
692,Nike Invincible 3,Men,16,143.97,180.0,2,1.0,1.0,1.0,1.0,green,DR2615-101,360.0,50.0,85.0,49.44,4.4,DR2615-101
693,Nike Full Force Low,Men,3,71.97,95.0,17,1.0,0.0,1.0,1.0,gold,FB1362-100,9.0,50.0,88.0,75.63,4.9,FB1362-100
694,Nike Air Max 1 SC,Men,5,150.0,150.0,22,1.0,0.0,1.0,0.0,brown,FB9660-001,19.0,50.0,92.0,78.91,4.5,FB9660-001
695,Nike Air Force 1 '07,Men,4,91.97,115.0,9,1.0,0.0,1.0,0.0,,CT2302-100,862.0,56.0,86.0,47.84,4.9,CT2302-100
696,Nike Air Force 1 '07,Men,1,114.97,135.0,1,0.0,1.0,1.0,0.0,,FV6656-100,9.0,50.0,67.0,57.52,3.4,FV6656-100
697,Nike Air Max 2013,Men,3,180.0,180.0,17,1.0,0.0,1.0,0.0,olive,FZ3156-010,4.0,50.0,88.0,79.33,5.0,FZ3156-010
698,Nike Air Max Pulse Roam,Men,2,144.97,170.0,17,0.0,0.0,1.0,0.0,,DZ3544-200,21.0,48.0,84.0,77.33,4.5,DZ3544-200
699,Nike Killshot 2 Leather,Men,7,90.0,90.0,14,1.0,1.0,1.0,0.0,green,432997-121,118.0,57.0,72.0,44.69,4.7,432997-121
700,Nike G.T. Cut 2 GTE,Men,1,153.97,180.0,16,1.0,0.0,0.0,1.0,,FV4145-001,3.0,67.0,100.0,89.0,5.0,FV4145-001
701,Nike G.T. Hustle 2 GTE,Men,6,135.97,180.0,15,1.0,0.0,1.0,1.0,green,FV4137-001,1.0,50.0,50.0,50.0,3.0,FV4137-001
702,Nike G.T. Jump 2,Men,5,161.97,190.0,8,1.0,1.0,1.0,1.0,green,FV1895-001,3.0,50.0,100.0,83.33,5.0,FV1895-001
703,Freak 5,Men,9,105.97,140.0,25,1.0,1.0,1.0,1.0,brown,DX4985-600,29.0,47.0,72.0,69.55,4.5,DX4985-600
704,Giannis Immortality 3,Men,8,76.97,90.0,14,1.0,1.0,1.0,1.0,purple,DZ7533-600,57.0,29.0,75.0,53.38,4.5,DZ7533-600
705,Nike InfinityRN 4 GORE-TEX,Men,3,153.97,180.0,16,1.0,1.0,1.0,0.0,purple,FB2204-002,25.0,44.0,85.0,71.0,4.6,FB2204-002
706,Nike InfinityRN 4,Men,18,136.97,160.0,15,1.0,1.0,1.0,1.0,brown,DR2665-100,189.0,29.0,86.0,47.33,4.5,DR2665-100
707,Nike Air Max Penny,Men,8,153.97,180.0,13,1.0,0.0,1.0,0.0,green,FQ8827-324,1.0,50.0,100.0,83.33,5.0,FQ8827-324
708,Nike Air Max 90 GORE-TEX,Men,2,136.97,160.0,22,1.0,0.0,1.0,1.0,green,FD5810-200,12.0,25.0,63.0,48.78,4.4,FD5810-200
709,Nike Pegasus Trail 4 GORE-TEX,Men,11,160.0,160.0,7,1.0,1.0,1.0,0.0,brown,DJ7926-001,176.0,46.0,89.0,52.01,4.3,DJ7926-001
710,Nike Vomero 17,Men,6,160.0,160.0,17,1.0,1.0,1.0,1.0,brown,FB1309-001,30.0,52.0,93.0,79.44,4.7,FB1309-001
711,Nike Air VaporMax 2023 Flyknit,Men,7,210.0,210.0,17,1.0,1.0,1.0,0.0,green,DV1678-006,200.0,46.0,89.0,55.17,4.6,DV1678-006
712,Nike Air VaporMax Plus,Men,8,178.97,210.0,7,1.0,1.0,1.0,0.0,green,924453-007,2540.0,44.0,96.0,47.15,4.9,924453-007
713,Nike Air Max 90,Men,4,130.0,130.0,17,1.0,0.0,1.0,0.0,,CN8490-001,329.0,49.0,89.0,49.55,4.7,CN8490-001
714,Jordan Retro 6 G NRG,Men,1,230.0,230.0,23,0.0,0.0,1.0,0.0,,FD6719-001,2.0,50.0,100.0,66.67,5.0,FD6719-001
715,Air Jordan 1 Low G NRG,Men,1,170.0,170.0,10,0.0,0.0,1.0,0.0,,FD6848-001,5.0,50.0,100.0,83.33,5.0,FD6848-001
716,Air Jordan 1 High G NRG,Men,1,210.0,210.0,16,0.0,0.0,1.0,0.0,,FD6815-001,10.0,56.0,72.0,69.33,4.6,FD6815-001
717,Nike Air Max Pulse,Men,7,112.97,150.0,17,1.0,0.0,1.0,0.0,brown,FN7459-002,23.0,37.0,74.0,67.43,4.3,FN7459-002
718,"Air Jordan 2 ""Origins""",Men,2,175.0,175.0,17,1.0,0.0,1.0,1.0,,DR8884-101,148.0,49.0,91.0,73.02,4.8,DR8884-101
719,Nike Dunk High Premium,Men,1,135.0,135.0,0,0.0,0.0,0.0,0.0,,,,,,,,
720,Nike Air Max Plus,Men,11,157.97,185.0,13,1.0,1.0,1.0,1.0,green,FV0393-001,11.0,42.0,100.0,65.52,4.8,FV0393-001
721,Air Jordan 1 Mid,Men,8,75.97,125.0,8,1.0,1.0,1.0,1.0,green,BQ6472-033,990.0,50.0,80.0,44.71,4.9,BQ6472-033
722,Nike Dunk High Retro,Men,3,106.97,125.0,5,1.0,0.0,1.0,0.0,brown,DV0829-100,45.0,53.0,78.0,51.07,4.8,DV0829-100
723,Nike Air Force 1 '07,Men,2,93.97,110.0,3,1.0,0.0,1.0,0.0,brown,DZ4404-001,40.0,57.0,74.0,53.67,4.8,DZ4404-001
724,Air Jordan 1 Mid SE,Men,1,114.97,135.0,8,1.0,0.0,1.0,0.0,gold,852542-007,643.0,50.0,80.0,45.67,4.8,852542-007
725,Nike Air Max 2017,Men,3,150.97,190.0,8,1.0,0.0,1.0,0.0,,849559-001,205.0,41.0,83.0,46.54,3.8,849559-001
726,Nike Roshe One,Men,4,39.97,75.0,3,1.0,1.0,1.0,0.0,,511881-023,445.0,60.0,95.0,51.97,4.3,511881-023
727,Air Jordan XXXVII Low,Men,3,96.97,175.0,4,1.0,0.0,1.0,1.0,gold,DQ4122-100,53.0,33.0,75.0,48.58,4.4,DQ4122-100
728,Nike Calm,Men,2,60.0,60.0,4,0.0,0.0,0.0,0.0,green,FD5130-200,9.0,28.0,84.0,70.67,4.7,FD5130-200
729,Nike Air Max Excee,Men,6,95.0,95.0,15,1.0,0.0,1.0,1.0,,FN7304-100,4.0,,,,4.5,FN7304-100
730,Air Jordan 1 Low SE Craft,Men,1,125.0,125.0,7,1.0,0.0,0.0,0.0,olive,FD6819-300,37.0,50.0,89.0,57.14,4.8,FD6819-300
731,Nike Air Span II,Men,1,65.97,95.0,3,1.0,0.0,1.0,0.0,olive,AH8047-011,6.0,34.0,88.0,61.0,3.8,AH8047-011
732,Nike Air Max Terrascape Plus,Men,5,89.97,185.0,20,1.0,0.0,1.0,0.0,purple,DQ3977-100,19.0,40.0,77.0,58.3,4.2,DQ3977-100
733,Nike Air Max Scorpion Flyknit,Men,3,149.97,250.0,11,1.0,0.0,1.0,0.0,,DJ4701-003,134.0,42.0,89.0,58.34,4.6,DJ4701-003
734,Nike Blazer Mid '77 Vintage,Men,8,105.0,105.0,19,1.0,0.0,1.0,1.0,brown,BQ6806-100,786.0,48.0,71.0,40.39,4.7,BQ6806-100
735,Nike Calm,Men,6,42.97,50.0,12,1.0,0.0,0.0,1.0,khaki,FD4116-200,164.0,27.0,78.0,47.8,4.3,FD4116-200
736,Air Jordan 1 Zoom CMFT 2,Men,4,127.97,150.0,7,1.0,1.0,1.0,1.0,green,DV1305-001,35.0,50.0,83.0,62.43,4.3,DV1305-001
737,Nike Court Legacy,Men,3,59.97,70.0,8,1.0,0.0,1.0,0.0,,DH3162-100,166.0,34.0,61.0,33.47,4.6,DH3162-100
738,Nike Legend Essential 2,Men,2,59.97,65.0,6,1.0,0.0,1.0,0.0,olive,CQ9356-004,176.0,38.0,76.0,39.14,4.4,CQ9356-004
739,Nike Air Max 90,Men,3,110.97,130.0,16,1.0,1.0,1.0,1.0,,FB9658-002,8.0,50.0,94.0,77.17,4.9,FB9658-002
740,Nike Air Force 1 '07,Men,5,115.0,115.0,13,1.0,0.0,1.0,1.0,,DV0788-105,184.0,54.0,85.0,51.59,4.8,DV0788-105
741,Nike Revolution 6,Men,7,55.97,70.0,5,1.0,1.0,1.0,1.0,purple,DC3728-003,518.0,31.0,67.0,33.95,4.1,DC3728-003
742,Nike Air Max 1,Men,3,105.97,140.0,14,1.0,1.0,1.0,1.0,olive,FD9082-102,135.0,46.0,88.0,58.74,4.8,FD9082-102
743,Jordan Nu Retro 1 Low,Men,3,78.97,105.0,12,1.0,0.0,1.0,1.0,purple,DV5141-611,24.0,46.0,92.0,66.83,4.8,DV5141-611
744,Air Jordan 1 Mid,Men,3,125.0,125.0,14,1.0,1.0,1.0,1.0,,554724-136,2967.0,50.0,78.0,42.8,4.9,554724-136
745,Nike Air Force 1 Low SP x UNDERCOVER,Men,2,82.97,165.0,3,1.0,0.0,1.0,0.0,gold,DQ7558-001,19.0,45.0,84.0,50.02,4.4,DQ7558-001
746,Nike Air Force 1 '07 LV8,Men,2,101.97,135.0,16,1.0,1.0,1.0,0.0,,FD2592-002,6.0,42.0,84.0,69.78,4.5,FD2592-002
747,Air Jordan 1 Element,Men,2,170.97,200.0,13,1.0,0.0,1.0,1.0,purple,DB2889-501,96.0,50.0,89.0,50.85,4.6,DB2889-501
748,Air Jordan 1 Mid SE,Men,6,81.97,135.0,2,1.0,0.0,1.0,1.0,brown,DV1302-100,54.0,54.0,77.0,54.78,4.7,DV1302-100
749,Air Jordan 1 Low,Men,3,115.0,115.0,14,1.0,1.0,1.0,1.0,,553558-136,1598.0,50.0,79.0,45.98,4.9,553558-136
750,Air Jordan 1 Mid SE,Men,1,107.97,135.0,14,1.0,0.0,0.0,0.0,orange,FQ8338-017,11.0,50.0,95.0,78.64,4.9,FQ8338-017
751,Nike Air Force 1 '07,Men,1,87.97,110.0,1,0.0,0.0,1.0,1.0,,CZ0326-100,19.0,57.0,88.0,51.84,4.8,CZ0326-100
752,Nike Air Force 1 '07 LV8,Men,1,101.97,135.0,17,0.0,0.0,0.0,0.0,brown,FB8878-200,4.0,25.0,75.0,50.0,5.0,FB8878-200
753,Air Jordan I High G,Men,4,99.97,180.0,16,1.0,1.0,1.0,0.0,green,DQ0660-130,19.0,56.0,95.0,73.14,4.8,DQ0660-130
754,Nike Air Max Goadome,Men,2,153.97,180.0,0,1.0,0.0,0.0,1.0,brown,865031-009,246.0,52.0,95.0,51.03,4.8,865031-009
755,Air Jordan 1 Mid SE,Men,1,87.97,135.0,5,1.0,0.0,1.0,1.0,orange,DX4332-800,49.0,54.0,82.0,61.66,4.9,DX4332-800
756,LeBron Witness 7,Men,6,64.97,105.0,14,1.0,1.0,1.0,0.0,purple,DM1123-100,281.0,40.0,96.0,48.54,4.8,DM1123-100
757,Nike Air Max 97 Premium,Men,1,101.97,185.0,3,0.0,0.0,1.0,0.0,gold,DQ9011-100,17.0,38.0,94.0,71.45,4.6,DQ9011-100
758,Nike Blazer Low '77 Vintage,Men,3,90.0,90.0,22,1.0,1.0,1.0,0.0,,DA6364-101,181.0,50.0,69.0,40.59,4.6,DA6364-101
759,Nike Air Max 90,Men,1,110.97,130.0,13,0.0,0.0,1.0,0.0,olive,FB9657-002,2.0,50.0,75.0,75.0,4.0,FB9657-002
760,Air Jordan 1 Low,Men,4,115.0,115.0,13,1.0,0.0,1.0,1.0,orange,DC0774-080,411.0,52.0,80.0,47.08,4.8,DC0774-080
761,Air Jordan 1 Elevate High,Men,4,87.97,145.0,2,1.0,1.0,1.0,1.0,gold,DN3253-061,60.0,47.0,72.0,48.56,4.3,DN3253-061
762,Nike Air Force 1 Mid QS,Men,1,85.97,155.0,5,0.0,0.0,1.0,0.0,green,DQ3505-100,14.0,46.0,92.0,69.81,4.9,DQ3505-100
763,Nike Blazer Low '77 Jumbo,Men,1,71.97,100.0,8,1.0,0.0,1.0,0.0,,DN2158-101,79.0,47.0,65.0,39.02,4.3,DN2158-101
764,Nike Air Max 1,Men,3,52.97,75.0,15,1.0,0.0,1.0,1.0,,DH0295-102,115.0,54.0,83.0,52.33,4.5,DH0295-102
765,Air Jordan 1 Low SE,Men,3,72.97,120.0,6,1.0,1.0,1.0,0.0,brown,DV0426-200,30.0,45.0,83.0,56.0,4.8,DV0426-200
766,Nike Revolution 5,Men,1,49.97,70.0,2,1.0,0.0,1.0,0.0,,BQ3204-005,1124.0,49.0,85.0,44.99,4.6,BQ3204-005
767,"Air Jordan 1 High OG ""Mauve""",Men,1,180.0,180.0,16,0.0,0.0,1.0,0.0,,DZ5485-105,832.0,50.0,79.0,48.05,4.9,DZ5485-105
768,Nike Free Run 2018,Men,1,84.97,120.0,14,1.0,0.0,1.0,0.0,,942838-101,216.0,44.0,97.0,48.39,4.7,942838-101
769,"Luka 2 ""Trick Shot""",Men,3,130.0,130.0,13,1.0,0.0,1.0,0.0,purple,DX8733-103,48.0,55.0,88.0,52.53,4.7,DX8733-103
770,"Tatum 1 ""Wave Runner""",Men,3,120.0,120.0,4,1.0,0.0,1.0,0.0,purple,FV0169-400,17.0,50.0,50.0,37.25,3.3,FV0169-400
771,Air Jordan 1 Elevate Low,Men,15,81.97,135.0,4,1.0,1.0,1.0,1.0,green,DH7004-600,81.0,60.0,74.0,50.02,4.7,DH7004-600
772,Nike Air Force 1 '07 LV8,Men,1,109.97,130.0,5,0.0,0.0,1.0,0.0,,FJ5471-121,3.0,67.0,84.0,61.44,4.7,FJ5471-121
773,Nike Air Force 1 '07 High,Men,2,110.97,130.0,20,1.0,0.0,1.0,0.0,,CT2303-100,84.0,48.0,83.0,46.44,4.8,CT2303-100
774,LeBron Witness 6,Men,8,73.97,105.0,10,1.0,1.0,1.0,1.0,green,CZ4052-101,401.0,43.0,82.0,44.24,4.7,CZ4052-101
775,Air Jordan 1 Retro High OG,Men,1,180.0,180.0,15,0.0,0.0,1.0,0.0,,FN6622-201,41.0,48.0,86.0,60.11,4.7,FN6622-201
776,Nike Superfly 9 Elite Mercurial Dream Speed,Men,5,295.0,295.0,18,1.0,0.0,1.0,0.0,pink,FD1157-600,0.0,,,,0.0,FD1157-600
777,Nike Air Max 95 By You,Men,4,190.0,190.0,17,0.0,0.0,0.0,0.0,,DM1182-991,,,,,,DM1182-991
778,Nike Phantom GX Elite,Men,4,203.97,250.0,3,1.0,0.0,1.0,1.0,,DC9968-705,54.0,43.0,81.0,43.19,4.7,DC9968-705
779,Nike Court Vision Mid Next Nature,Men,6,67.97,90.0,10,1.0,0.0,1.0,0.0,,DN3577-002,252.0,53.0,63.0,39.99,4.7,DN3577-002
780,Nike Mercurial Vapor 15 Elite,Men,8,212.97,250.0,1,1.0,1.0,1.0,0.0,pink,DJ4978-605,75.0,41.0,83.0,44.0,4.7,DJ4978-605
781,Nike Infinity Pro 2,Men,3,93.97,110.0,1,1.0,1.0,1.0,0.0,,DJ5593-041,73.0,16.0,76.0,46.0,4.1,DJ5593-041
782,Nike Revolution 7,Men,9,59.97,70.0,17,1.0,1.0,1.0,1.0,green,FB2207-100,16.0,25.0,100.0,45.83,4.8,FB2207-100
783,Nike Blazer Low '77,Men,1,95.0,95.0,3,1.0,0.0,1.0,0.0,,DZ2544-100,22.0,43.0,57.0,62.12,4.2,DZ2544-100
784,Nike SB React Leo,Men,4,71.97,95.0,19,1.0,1.0,1.0,0.0,brown,DX4361-002,13.0,50.0,88.0,74.21,4.8,DX4361-002
785,Nike SB Zoom Janoski OG+,Men,3,95.0,95.0,10,0.0,0.0,0.0,1.0,green,DV5475-300,9.0,38.0,88.0,56.81,4.7,DV5475-300
786,Jordan One Take 4,Men,3,85.97,100.0,11,1.0,0.0,1.0,1.0,green,DZ3338-106,8.0,50.0,84.0,57.17,4.6,DZ3338-106
787,Nike Zoom Superfly Elite 2,Men,2,160.0,160.0,21,1.0,1.0,1.0,0.0,pink,CD4382-400,31.0,15.0,92.0,38.89,4.9,CD4382-400
788,Nike Free Metcon 5 (Team),Men,14,120.0,120.0,15,1.0,1.0,1.0,1.0,purple,FN6616-800,13.0,50.0,100.0,83.33,4.9,FN6616-800
789,Alabama A&M,Men,1,28.97,40.0,10,1.0,0.0,1.0,1.0,,DX5635-002,1.0,,50.0,75.0,1.0,DX5635-002
790,Nike Air Max Plus Utility,Men,1,99.97,195.0,1,1.0,0.0,1.0,0.0,,FD0670-001,11.0,,50.0,50.0,4.5,FD0670-001
791,Nike Zoom Superfly Elite 2,Men,1,160.0,160.0,21,1.0,0.0,0.0,0.0,pink,CD4382-600,31.0,15.0,92.0,38.89,4.9,CD4382-600
792,Nike Phantom GX Pro,Men,4,144.97,160.0,8,1.0,0.0,1.0,1.0,,DD9465-600,34.0,20.0,70.0,32.94,4.4,DD9465-600
793,Nike Mercurial Superfly 9 Elite By You,Men,6,305.0,305.0,19,0.0,0.0,0.0,0.0,,FN6746-904,,,,,,FN6746-904
794,Nike Elevate 3,Men,6,63.97,85.0,25,1.0,1.0,1.0,1.0,brown,DD9304-602,171.0,40.0,78.0,41.09,4.5,DD9304-602
795,Nike P-6000 Premium,Men,5,90.97,120.0,17,1.0,1.0,1.0,1.0,khaki,FQ8732-010,6.0,50.0,100.0,83.33,5.0,FQ8732-010
796,Jumpman Two Trey,Men,4,124.97,155.0,6,1.0,0.0,1.0,1.0,green,DO1925-130,327.0,56.0,88.0,49.63,4.9,DO1925-130
797,Nike Renew Elevate 3,Men,1,80.0,80.0,10,1.0,0.0,1.0,0.0,pink,FQ8971-600,2.0,50.0,75.0,75.0,4.0,FQ8971-600
798,Freak 5 (Team),Men,5,119.97,140.0,26,1.0,0.0,1.0,1.0,,DZ2946-100,1.0,50.0,100.0,83.33,3.0,DZ2946-100
799,"LeBron 20 ""Time Machine""",Men,9,200.0,200.0,2,1.0,1.0,1.0,1.0,purple,DJ5423-300,201.0,39.0,92.0,45.16,4.8,DJ5423-300
800,Nike Huarache 9 Varsity LAX SE,Men,1,95.0,95.0,19,1.0,0.0,1.0,0.0,green,FZ3620-001,0.0,,,,0.0,FZ3620-001
801,Nike Mercurial Vapor 15 Elite,Men,3,260.0,260.0,10,1.0,0.0,1.0,0.0,,DJ5167-300,0.0,,,,0.0,DJ5167-300
802,Nike Air Trainer 1,Men,12,84.97,130.0,2,1.0,1.0,1.0,1.0,brown,FD0808-001,13.0,34.0,92.0,57.38,4.8,FD0808-001
803,Nike SB Zoom Blazer Mid,Men,3,67.97,90.0,20,0.0,1.0,1.0,1.0,green,864349-302,55.0,46.0,84.0,48.18,4.6,864349-302
804,AJKO 1 Low,Men,1,120.0,120.0,6,1.0,1.0,1.0,0.0,,DX4981-103,21.0,50.0,69.0,73.0,4.8,DX4981-103
805,Nike Alpha Huarache Elite 4 Mid,Men,8,100.0,100.0,16,1.0,1.0,1.0,1.0,,DJ6520-001,11.0,50.0,100.0,75.0,4.9,DJ6520-001
806,Nike Superfly 9 Academy Mercurial Dream Speed,Men,3,110.0,110.0,11,1.0,0.0,1.0,0.0,,FD1162-600,1.0,100.0,100.0,100.0,4.0,FD1162-600
807,Nike Tiempo Legend 10 Elite,Men,4,230.0,230.0,2,1.0,0.0,1.0,0.0,,DZ3183-100,5.0,,,,3.6,DZ3183-100
808,Nike Vapor Edge 360 VC,Men,4,84.97,120.0,2,1.0,0.0,1.0,0.0,pink,DO6294-002,3.0,,50.0,41.66,4.7,DO6294-002
809,Nike ACG Lowcate,Men,12,92.97,115.0,1,1.0,1.0,1.0,0.0,purple,DM8019-004,16.0,45.0,75.0,60.0,3.8,DM8019-004
810,Nike Mercurial Vapor 15 Academy,Men,1,85.0,85.0,1,1.0,0.0,1.0,0.0,,DJ5633-600,8.0,50.0,100.0,75.0,4.3,DJ5633-600
811,Nike Infinity Ace Next Nature,Men,6,82.97,110.0,11,1.0,0.0,1.0,0.0,green,DX0024-100,1.0,50.0,100.0,83.33,4.0,DX0024-100
812,Nike Court Vintage Premium,Men,1,80.0,80.0,2,0.0,0.0,1.0,0.0,,CW7586-100,9.0,50.0,100.0,61.11,5.0,CW7586-100
813,Nike Air Alpha Force 88,Men,2,130.0,130.0,22,1.0,0.0,1.0,0.0,orange,FN6594-002,0.0,,,,0.0,FN6594-002
814,Nike Pegasus 39,Men,13,130.0,130.0,1,1.0,1.0,1.0,0.0,,DM0174-302,79.0,53.0,93.0,73.0,4.6,DM0174-302
815,Nike In-Season TR 13,Men,8,72.97,85.0,17,1.0,1.0,1.0,1.0,green,DZ9360-007,3.0,50.0,100.0,61.11,4.0,DZ9360-007
816,Nike Dunk Low Retro Premium,Men,1,125.0,125.0,0,0.0,0.0,0.0,1.0,,FB8895-600,,,,,,FB8895-600
817,Jordan ADG 4 x Eastside Golf,Men,1,205.0,205.0,22,1.0,0.0,1.0,0.0,gold,FJ0850-001,0.0,,,,0.0,FJ0850-001
818,Nike Force Zoom Trout 9 Pro,Men,6,90.0,90.0,16,1.0,1.0,1.0,1.0,violet,FB2907-100,0.0,,,,0.0,FB2907-100
819,Nike Alpha Huarache Elite 4 Low MCS,Men,5,90.0,90.0,16,1.0,1.0,1.0,1.0,,FD6255-102,0.0,,,,0.0,FD6255-102
820,Nike Mercurial Superfly 9 Academy,Men,5,100.0,100.0,9,1.0,0.0,1.0,0.0,pink,DJ5627-300,10.0,50.0,100.0,53.33,4.2,DJ5627-300
821,Nike Air Max 1 '87 By You,Men,7,180.0,180.0,22,0.0,0.0,0.0,0.0,,FJ8893-900,,,,,,FJ8893-900
822,Nike Air Max 97,Men,10,122.97,175.0,1,1.0,1.0,1.0,1.0,gold,921826-011,1291.0,45.0,83.0,43.13,4.8,921826-011
823,Nike Mercurial Superfly 9 Academy By You,Men,6,130.0,130.0,19,0.0,0.0,0.0,0.0,,FN6750-900,,,,,,FN6750-900
824,Nike SB Ishod Wair,Men,1,88.97,105.0,4,1.0,0.0,1.0,0.0,,DC7232-001,50.0,41.0,67.0,38.0,4.2,DC7232-001
825,Nike Pegasus Turbo,Men,10,104.97,150.0,1,1.0,1.0,1.0,1.0,green,DM3413-002,267.0,45.0,84.0,46.37,4.3,DM3413-002
826,Nike Pegasus Shield,Men,4,145.0,145.0,17,1.0,0.0,1.0,0.0,gold,DO7625-001,49.0,50.0,85.0,47.72,4.5,DO7625-001
827,Nike Dunk Low Unlocked By You,Men,7,160.0,160.0,22,0.0,0.0,0.0,0.0,,FJ2253-901,,,,,,FJ2253-901
828,Nike Mercurial Vapor 15 Club,Men,2,65.0,65.0,12,1.0,0.0,1.0,0.0,,DJ5963-600,76.0,32.0,44.0,27.96,4.7,DJ5963-600
829,Nike SB Ishod Premium,Men,6,88.97,110.0,5,1.0,1.0,1.0,1.0,brown,DV5473-001,3.0,50.0,84.0,66.89,5.0,DV5473-001
830,Nike Flex Control 4,Men,4,64.97,65.0,6,1.0,1.0,1.0,0.0,,CD0197-006,96.0,45.0,83.0,46.49,4.5,CD0197-006
831,Nike Air Force 1 Low By You,Men,8,135.0,135.0,20,0.0,0.0,0.0,0.0,,DV3892-900,,,,,,DV3892-900
832,Nike Air Max Flyknit Racer Next Nature,Men,2,96.97,160.0,11,1.0,0.0,1.0,0.0,orange,FD0762-800,15.0,75.0,79.0,69.11,4.3,FD0762-800
833,Zion 2,Men,1,120.0,120.0,7,1.0,0.0,1.0,0.0,,FJ1213-106,7.0,50.0,100.0,75.0,4.7,FJ1213-106
834,Nike Phantom GX Academy MG By You,Men,6,125.0,125.0,19,0.0,0.0,0.0,0.0,,DX5257-900,,,,,,DX5257-900
835,Jordan Delta 3 Low,Men,1,70.97,140.0,12,0.0,0.0,1.0,0.0,purple,DN2647-651,7.0,84.0,84.0,60.76,4.3,DN2647-651
836,Nike Phantom GX Academy,Men,4,85.0,85.0,5,1.0,0.0,1.0,1.0,,DD9475-705,0.0,,,,0.0,DD9475-705
837,Nike Elevate 2,Men,1,40.97,80.0,3,1.0,0.0,1.0,0.0,,CW3406-004,66.0,29.0,70.0,49.5,4.2,CW3406-004
